City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,Geraldton,-28.7667,114.6,81.01,47,0,17.27,AU,2021-12-19 04:23:45
228,Tazovskiy,67.4667,78.7,-41.26,99,70,5.77,RU,2021-12-19 04:23:45
229,Jimalalud,9.9797,123.1999,84.11,73,53,7.76,PH,2021-12-19 04:23:46
230,Hammerfest,70.6634,23.6821,32.45,80,75,11.5,NO,2021-12-19 04:23:46
231,Maniwaki,46.3834,-75.966,21.74,93,100,5.75,CA,2021-12-19 04:23:46
232,Riverton,40.5219,-111.9391,28.8,78,1,3.0,US,2021-12-19 04:23:47
233,Sens,48.1667,3.3333,38.79,95,7,6.71,FR,2021-12-19 04:23:47
234,Farah,32.5,62.5,50.56,11,92,1.01,AF,2021-12-19 04:23:47
235,Lucapa,-8.4192,20.7447,63.54,98,100,1.01,AO,2021-12-19 04:23:48
236,Labuhan,-6.8844,112.2051,87.78,66,100,5.53,ID,2021-12-19 04:23:48
237,Broome,42.2506,-75.833,42.46,81,90,3.0,US,2021-12-19 04:19:44
238,Half Moon Bay,37.4636,-122.4286,47.98,87,1,0.0,US,2021-12-19 04:23:48
239,Esil,51.9556,66.4042,26.04,97,100,8.05,KZ,2021-12-19 04:23:49
240,Husavik,66.0449,-17.3389,35.51,87,100,11.39,IS,2021-12-19 04:23:49
241,Tuktoyaktuk,69.4541,-133.0374,-14.8,76,75,10.36,CA,2021-12-19 04:23:50
242,Deer Lake,49.1667,-57.4316,22.86,68,90,12.66,CA,2021-12-19 04:23:50
243,Buraydah,26.326,43.975,55.85,72,15,7.81,SA,2021-12-19 04:23:50
244,Leeton,-34.5667,146.4,71.65,68,100,32.21,AU,2021-12-19 04:23:51
245,Vilyuysk,63.7553,121.6247,-45.02,100,93,0.85,RU,2021-12-19 04:23:51
246,Kjollefjord,70.9457,27.3465,28.4,80,96,19.91,NO,2021-12-19 04:23:51
247,Port Keats,-14.25,129.55,90.43,62,87,12.77,AU,2021-12-19 04:23:52
248,Georgetown,5.4112,100.3354,78.75,88,40,2.3,MY,2021-12-19 04:23:52
249,Coruripe,-10.1256,-36.1756,77.02,84,21,9.1,BR,2021-12-19 04:23:52
250,Haradok,55.4624,29.9816,36.93,96,100,17.87,BY,2021-12-19 04:23:53
251,Arraial Do Cabo,-22.9661,-42.0278,73.4,75,15,8.23,BR,2021-12-19 04:23:53
252,Bedford,52.1346,-0.4663,41.95,85,100,3.91,GB,2021-12-19 04:23:53
253,Guerrero Negro,27.9769,-114.0611,61.9,35,0,14.56,MX,2021-12-19 04:23:54
254,Xining,36.6167,101.7667,25.54,34,100,1.57,CN,2021-12-19 04:23:54
255,Magdagachi,53.45,125.8,-2.92,81,94,3.6,RU,2021-12-19 04:23:54
256,Vestmannaeyjar,63.4427,-20.2734,45.99,88,100,23.51,IS,2021-12-19 04:23:55
257,Saryozek,44.3583,77.9753,39.07,23,99,6.69,KZ,2021-12-19 04:23:55
258,Okhotsk,59.3833,143.3,-2.11,98,100,10.71,RU,2021-12-19 04:23:55
259,Cheney,47.4874,-117.5758,40.62,95,90,17.27,US,2021-12-19 04:23:56
260,Amurzet,47.6967,131.0981,1.53,83,97,5.79,RU,2021-12-19 04:23:56
261,Svetlyy,54.675,20.1347,42.85,87,99,19.06,RU,2021-12-19 04:23:56
262,Topeka,39.0483,-95.678,28.49,71,90,3.44,US,2021-12-19 04:22:42
263,Westport,41.1415,-73.3579,49.8,98,90,9.22,US,2021-12-19 04:23:57
264,Uyemskiy,64.4743,40.8524,3.25,91,75,11.18,RU,2021-12-19 04:23:57
265,Menomonie,44.8755,-91.9193,21.97,73,11,3.44,US,2021-12-19 04:23:57
266,Roald,62.5833,6.1333,41.16,81,90,14.97,NO,2021-12-19 04:23:58
267,Camargo,27.6667,-105.1667,53.2,79,14,9.42,MX,2021-12-19 04:23:58
268,Bayir,37.2687,28.2167,43.32,98,100,6.69,TR,2021-12-19 04:23:58
269,Ust-Tsilma,65.441,52.1498,-19.23,100,96,3.62,RU,2021-12-19 04:19:15
270,Ugoofaaru,5.6667,73.0,81.19,73,100,7.43,MV,2021-12-19 04:23:59
